model,type,epsilon,attack,accuracy,f1,roc_auc,clean_acc,adv_acc,qubits,depth,shots,backend,seed,encoding,wall_clock_s
MLP,classical,0.0,fgsm,0.8646666666666667,0.8591256072172103,0.9414771434260681,0.8646666666666667,0.8646666666666667,,,,cpu,0,-,38.4
MLP,classical,0.02,fgsm,0.37066666666666664,0.42926239419588874,0.504931871195312,0.8646666666666667,0.37066666666666664,,,,cpu,0,-,38.4
MLP,classical,0.05,fgsm,0.09133333333333334,0.15812229771463868,0.1397369431643625,0.8646666666666667,0.09133333333333334,,,,cpu,0,-,38.4
MLP,classical,0.1,fgsm,0.078,0.14471243042671614,0.11771775615861638,0.8646666666666667,0.078,,,,cpu,0,-,38.4
MLP,classical,0.15,fgsm,0.078,0.14471243042671614,0.0914831882573818,0.8646666666666667,0.078,,,,cpu,0,-,38.4
MLP,classical,0.2,fgsm,0.078,0.14471243042671614,0.08550947260624679,0.8646666666666667,0.078,,,,cpu,0,-,38.4
SVM-RBF,classical,0.0,fgsm,0.8693333333333333,0.8673883626522327,0.9101275814985492,0.8693333333333333,0.8693333333333333,,,,cpu,0,-,38.6
SVM-RBF,classical,0.02,fgsm,0.18933333333333333,0.2962962962962963,0.07966198725607329,0.8693333333333333,0.18933333333333333,,,,cpu,0,-,38.6
SVM-RBF,classical,0.05,fgsm,0.025333333333333333,0.031788079470198675,0.006508861011549195,0.8693333333333333,0.025333333333333333,,,,cpu,0,-,38.6
SVM-RBF,classical,0.1,fgsm,0.0026666666666666666,0.0,8.356090345337631e-05,0.8693333333333333,0.0026666666666666666,,,,cpu,0,-,38.6
SVM-RBF,classical,0.15,fgsm,0.002,0.0,0.0,0.8693333333333333,0.002,,,,cpu,0,-,38.6
SVM-RBF,classical,0.2,fgsm,0.0,0.0,0.0,0.8693333333333333,0.0,,,,cpu,0,-,38.6
MLP,classical,0.0,pgd,0.8646666666666667,0.8591256072172103,0.9414771434260681,0.8646666666666667,0.8646666666666667,,,,cpu,0,-,38.8
MLP,classical,0.02,pgd,0.322,0.40906449738524114,0.4512324344313592,0.8646666666666667,0.322,,,,cpu,0,-,38.8
MLP,classical,0.05,pgd,0.09866666666666667,0.17761557177615572,0.17779448995846847,0.8646666666666667,0.09866666666666667,,,,cpu,0,-,38.8
MLP,classical,0.1,pgd,0.10733333333333334,0.1938591210114389,0.14770011947431305,0.8646666666666667,0.10733333333333334,,,,cpu,0,-,38.8
MLP,classical,0.15,pgd,0.108,0.19397590361445782,0.1465551573078455,0.8646666666666667,0.108,,,,cpu,0,-,38.8
MLP,classical,0.2,pgd,0.11066666666666666,0.1992797118847539,0.14859795471354614,0.8646666666666667,0.11066666666666666,,,,cpu,0,-,38.8
SVM-RBF,classical,0.0,pgd,0.8693333333333333,0.8673883626522327,0.9101275814985492,0.8693333333333333,0.8693333333333333,,,,cpu,0,-,44.7
SVM-RBF,classical,0.02,pgd,0.178,0.2793687901811806,0.07942374978665302,0.8693333333333333,0.178,,,,cpu,0,-,44.7
SVM-RBF,classical,0.05,pgd,0.025333333333333333,0.031788079470198675,0.006172839506172858,0.8693333333333333,0.025333333333333333,,,,cpu,0,-,44.7
SVM-RBF,classical,0.1,pgd,0.0026666666666666666,0.0,6.75598793878365e-05,0.8693333333333333,0.0026666666666666666,,,,cpu,0,-,44.7
SVM-RBF,classical,0.15,pgd,0.002,0.0,0.0,0.8693333333333333,0.002,,,,cpu,0,-,44.7
SVM-RBF,classical,0.2,pgd,0.0013333333333333333,0.0013333333333333333,0.0006951556010695797,0.8693333333333333,0.0013333333333333333,,,,cpu,0,-,44.7
RF,classical-context,0.0,none,0.978,0.9779559118236473,0.997171374523525,0.978,0.978,,,,cpu,0,-,44.8
VQC-angle,quantum,0.0,fgsm,0.7106666666666667,0.6604068857589984,0.7788516242817318,0.7106666666666667,0.7106666666666667,8.0,2.0,,default.qubit,0,angle,230.6
VQC-angle,quantum,0.02,fgsm,0.6926666666666667,0.644015444015444,0.559573590487569,0.7106666666666667,0.6926666666666667,8.0,2.0,,default.qubit,0,angle,230.6
VQC-angle,quantum,0.05,fgsm,0.62,0.5707831325301205,0.5027326193320817,0.7106666666666667,0.62,8.0,2.0,,default.qubit,0,angle,230.6
VQC-angle,quantum,0.1,fgsm,0.20866666666666667,0.34456101601325234,0.3430388433748649,0.7106666666666667,0.20866666666666667,8.0,2.0,,default.qubit,0,angle,230.6
VQC-angle,quantum,0.15,fgsm,0.18466666666666667,0.31176139561057964,0.15203106332138588,0.7106666666666667,0.18466666666666667,8.0,2.0,,default.qubit,0,angle,230.6
VQC-angle,quantum,0.2,fgsm,0.12466666666666666,0.22169531713100177,0.002369929453262787,0.7106666666666667,0.12466666666666666,8.0,2.0,,default.qubit,0,angle,230.6
VQC-angle,quantum,0.0,pgd,0.7106666666666667,0.6604068857589984,0.7788516242817318,0.7106666666666667,0.7106666666666667,8.0,2.0,,default.qubit,0,angle,360.2
VQC-angle,quantum,0.02,pgd,0.6926666666666667,0.644015444015444,0.5595735904875689,0.7106666666666667,0.6926666666666667,8.0,2.0,,default.qubit,0,angle,360.2
VQC-angle,quantum,0.05,pgd,0.62,0.5707831325301205,0.5026508363201911,0.7106666666666667,0.62,8.0,2.0,,default.qubit,0,angle,360.2
VQC-angle,quantum,0.1,pgd,0.20866666666666667,0.34456101601325234,0.3414796324742561,0.7106666666666667,0.20866666666666667,8.0,2.0,,default.qubit,0,angle,360.2
