attack,model,epsilon,seed,acc
fgsm,VQC-angle,0.0,0,0.6625000238418579
fgsm,VQC-angle,0.02,0,0.4975000023841858
fgsm,VQC-angle,0.05,0,0.15000000596046448
fgsm,VQC-angle,0.1,0,0.032499998807907104
fgsm,VQC-angle,0.15,0,0.029999999329447746
fgsm,VQC-angle,0.2,0,0.029999999329447746
pgd,VQC-angle,0.0,0,0.6625000238418579
pgd,VQC-angle,0.02,0,0.4975000023841858
pgd,VQC-angle,0.05,0,0.13500000536441803
pgd,VQC-angle,0.1,0,0.012500000186264515
pgd,VQC-angle,0.15,0,0.0024999999441206455
pgd,VQC-angle,0.2,0,0.014999999664723873
fgsm,VQC-amplitude-dense,0.0,0,0.7450000047683716
fgsm,VQC-amplitude-dense,0.02,0,0.1574999988079071
fgsm,VQC-amplitude-dense,0.05,0,0.05999999865889549
fgsm,VQC-amplitude-dense,0.1,0,0.23000000417232513
fgsm,VQC-amplitude-dense,0.15,0,0.25999999046325684
fgsm,VQC-amplitude-dense,0.2,0,0.44999998807907104
pgd,VQC-amplitude-dense,0.0,0,0.7450000047683716
pgd,VQC-amplitude-dense,0.02,0,0.14000000059604645
pgd,VQC-amplitude-dense,0.05,0,0.004999999888241291
pgd,VQC-amplitude-dense,0.1,0,0.0
pgd,VQC-amplitude-dense,0.15,0,0.0
pgd,VQC-amplitude-dense,0.2,0,0.0
fgsm,VQC-amplitude-degenerate,0.0,0,0.6474999785423279
fgsm,VQC-amplitude-degenerate,0.02,0,0.5249999761581421
fgsm,VQC-amplitude-degenerate,0.05,0,0.15000000596046448
fgsm,VQC-amplitude-degenerate,0.1,0,0.04500000178813934
fgsm,VQC-amplitude-degenerate,0.15,0,0.007499999832361937
fgsm,VQC-amplitude-degenerate,0.2,0,0.0
pgd,VQC-amplitude-degenerate,0.0,0,0.6474999785423279
pgd,VQC-amplitude-degenerate,0.02,0,0.5249999761581421
pgd,VQC-amplitude-degenerate,0.05,0,0.15000000596046448
pgd,VQC-amplitude-degenerate,0.1,0,0.04500000178813934
pgd,VQC-amplitude-degenerate,0.15,0,0.007499999832361937
pgd,VQC-amplitude-degenerate,0.2,0,0.0
fgsm,VQC-angle,0.0,1,0.5450000166893005
fgsm,VQC-angle,0.02,1,0.5274999737739563
fgsm,VQC-angle,0.05,1,0.47999998927116394
fgsm,VQC-angle,0.1,1,0.47999998927116394
fgsm,VQC-angle,0.15,1,0.47999998927116394
fgsm,VQC-angle,0.2,1,0.47999998927116394
pgd,VQC-angle,0.0,1,0.5450000166893005
pgd,VQC-angle,0.02,1,0.5274999737739563
pgd,VQC-angle,0.05,1,0.47999998927116394
pgd,VQC-angle,0.1,1,0.24250000715255737
pgd,VQC-angle,0.15,1,0.12250000238418579
pgd,VQC-angle,0.2,1,0.07000000029802322
fgsm,VQC-amplitude-dense,0.0,1,0.6474999785423279
fgsm,VQC-amplitude-dense,0.02,1,0.25999999046325684
fgsm,VQC-amplitude-dense,0.05,1,0.3474999964237213
fgsm,VQC-amplitude-dense,0.1,1,0.512499988079071
fgsm,VQC-amplitude-dense,0.15,1,0.5174999833106995
fgsm,VQC-amplitude-dense,0.2,1,0.5325000286102295
pgd,VQC-amplitude-dense,0.0,1,0.6474999785423279
pgd,VQC-amplitude-dense,0.02,1,0.23000000417232513
pgd,VQC-amplitude-dense,0.05,1,0.02500000037252903
pgd,VQC-amplitude-dense,0.1,1,0.007499999832361937
pgd,VQC-amplitude-dense,0.15,1,0.0
pgd,VQC-amplitude-dense,0.2,1,0.0024999999441206455
fgsm,VQC-amplitude-degenerate,0.0,1,0.7024999856948853
fgsm,VQC-amplitude-degenerate,0.02,1,0.3125
fgsm,VQC-amplitude-degenerate,0.05,1,0.22750000655651093
fgsm,VQC-amplitude-degenerate,0.1,1,0.07500000298023224
fgsm,VQC-amplitude-degenerate,0.15,1,0.02500000037252903
fgsm,VQC-amplitude-degenerate,0.2,1,0.0024999999441206455
pgd,VQC-amplitude-degenerate,0.0,1,0.7024999856948853
pgd,VQC-amplitude-degenerate,0.02,1,0.3125
pgd,VQC-amplitude-degenerate,0.05,1,0.22750000655651093
pgd,VQC-amplitude-degenerate,0.1,1,0.07500000298023224
