model,type,encoding,epsilon,attack,accuracy,f1,roc_auc,clean_acc,adv_acc,qubits,depth,shots,backend,seed,wall_clock_s
MLP,classical,-,0.0,fgsm,0.8966666666666666,0.898360655737705,0.9757777777777779,0.8966666666666666,0.8966666666666666,,,,cpu,0,
MLP,classical,-,0.02,fgsm,0.29,0.4099722991689751,0.4865777777777778,0.8966666666666666,0.29,,,,cpu,0,
MLP,classical,-,0.05,fgsm,0.24333333333333335,0.28391167192429023,0.3234222222222222,0.8966666666666666,0.24333333333333335,,,,cpu,0,
MLP,classical,-,0.1,fgsm,0.21,0.2379421221864952,0.3025777777777778,0.8966666666666666,0.21,,,,cpu,0,
MLP,classical,-,0.15,fgsm,0.21333333333333335,0.23870967741935484,0.2991111111111111,0.8966666666666666,0.21333333333333335,,,,cpu,0,
MLP,classical,-,0.2,fgsm,0.21,0.2379421221864952,0.2951111111111111,0.8966666666666666,0.21,,,,cpu,0,
MLP,classical,-,0.0,pgd,0.8966666666666666,0.898360655737705,0.9757777777777779,0.8966666666666666,0.8966666666666666,,,,cpu,0,
MLP,classical,-,0.02,pgd,0.25666666666666665,0.39892183288409705,0.45520000000000005,0.8966666666666666,0.25666666666666665,,,,cpu,0,
MLP,classical,-,0.05,pgd,0.12666666666666668,0.22485207100591717,0.2232444444444444,0.8966666666666666,0.12666666666666668,,,,cpu,0,
MLP,classical,-,0.1,pgd,0.12666666666666668,0.22485207100591717,0.17057777777777777,0.8966666666666666,0.12666666666666668,,,,cpu,0,
MLP,classical,-,0.15,pgd,0.14,0.2411764705882353,0.1832888888888889,0.8966666666666666,0.14,,,,cpu,0,
MLP,classical,-,0.2,pgd,0.12,0.21428571428571427,0.1656,0.8966666666666666,0.12,,,,cpu,0,
SVM-RBF,classical,-,0.0,fgsm,0.8933333333333333,0.891156462585034,0.913911111111111,0.8933333333333333,0.8933333333333333,,,,cpu,0,
SVM-RBF,classical,-,0.02,fgsm,0.18666666666666668,0.2823529411764706,0.09604444444444445,0.8933333333333333,0.18666666666666668,,,,cpu,0,
SVM-RBF,classical,-,0.05,fgsm,0.03,0.03322259136212625,0.008444444444444438,0.8933333333333333,0.03,,,,cpu,0,
SVM-RBF,classical,-,0.1,fgsm,0.0033333333333333335,0.0,0.00017777777777777892,0.8933333333333333,0.0033333333333333335,,,,cpu,0,
SVM-RBF,classical,-,0.15,fgsm,0.0033333333333333335,0.0,0.0,0.8933333333333333,0.0033333333333333335,,,,cpu,0,
SVM-RBF,classical,-,0.2,fgsm,0.0,0.0,0.0,0.8933333333333333,0.0,,,,cpu,0,
SVM-RBF,classical,-,0.0,pgd,0.8933333333333333,0.891156462585034,0.913911111111111,0.8933333333333333,0.8933333333333333,,,,cpu,0,
SVM-RBF,classical,-,0.02,pgd,0.17666666666666667,0.26706231454005935,0.09595555555555554,0.8933333333333333,0.17666666666666667,,,,cpu,0,
SVM-RBF,classical,-,0.05,pgd,0.03,0.03322259136212625,0.008222222222222218,0.8933333333333333,0.03,,,,cpu,0,
SVM-RBF,classical,-,0.1,pgd,0.0033333333333333335,0.0,0.00017777777777777892,0.8933333333333333,0.0033333333333333335,,,,cpu,0,
SVM-RBF,classical,-,0.15,pgd,0.0033333333333333335,0.0,0.0,0.8933333333333333,0.0033333333333333335,,,,cpu,0,
SVM-RBF,classical,-,0.2,pgd,0.0,0.0,0.0,0.8933333333333333,0.0,,,,cpu,0,
VQC-angle,quantum,angle,0.0,fgsm,0.73,0.6720647773279352,0.8024888888888889,0.73,0.73,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.0,fgsm,0.7166666666666667,0.6613545816733067,0.8024888888888889,0.7166666666666667,0.7166666666666667,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.02,fgsm,0.67,0.6147859922178989,0.5333777777777777,0.73,0.67,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.02,fgsm,0.67,0.6206896551724138,0.5333777777777777,0.7166666666666667,0.67,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.05,fgsm,0.4666666666666667,0.4594594594594595,0.41288888888888886,0.73,0.4666666666666667,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.05,fgsm,0.41,0.43450479233226835,0.41288888888888886,0.7166666666666667,0.41,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.1,fgsm,0.15666666666666668,0.27089337175792505,0.018666666666666668,0.73,0.15666666666666668,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.1,fgsm,0.16,0.27586206896551724,0.018666666666666668,0.7166666666666667,0.16,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.15,fgsm,0.013333333333333334,0.02631578947368421,0.0,0.73,0.013333333333333334,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.15,fgsm,0.013333333333333334,0.02631578947368421,0.0,0.7166666666666667,0.013333333333333334,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.2,fgsm,0.0,0.0,0.0,0.73,0.0,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.2,fgsm,0.0,0.0,0.0,0.7166666666666667,0.0,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.0,pgd,0.73,0.6720647773279352,0.8024888888888889,0.73,0.73,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.0,pgd,0.7166666666666667,0.6613545816733067,0.8024888888888889,0.7166666666666667,0.7166666666666667,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.02,pgd,0.67,0.6147859922178989,0.5333777777777777,0.73,0.67,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.02,pgd,0.67,0.6206896551724138,0.5333777777777777,0.7166666666666667,0.67,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.05,pgd,0.4666666666666667,0.4594594594594595,0.41159999999999997,0.73,0.4666666666666667,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.05,pgd,0.41,0.43450479233226835,0.41159999999999997,0.7166666666666667,0.41,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.1,pgd,0.15333333333333332,0.2658959537572254,0.017866666666666666,0.73,0.15333333333333332,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.1,pgd,0.15666666666666668,0.27089337175792505,0.017866666666666666,0.7166666666666667,0.15666666666666668,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.15,pgd,0.01,0.019801980198019802,0.0,0.73,0.01,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.15,pgd,0.013333333333333334,0.02631578947368421,0.0,0.7166666666666667,0.013333333333333334,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.2,pgd,0.0,0.0,0.0,0.73,0.0,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.2,pgd,0.0,0.0,0.0,0.7166666666666667,0.0,8.0,2.0,,default.mixed,0,
VQC-amplitude,quantum,amplitude,0.0,fgsm,0.7433333333333333,0.6778242677824268,0.897688888888889,0.7433333333333333,0.7433333333333333,8.0,2.0,,default.qubit,0,
VQC-amplitude-noisy,quantum,amplitude,0.0,fgsm,0.7433333333333333,0.6778242677824268,0.897688888888889,0.7433333333333333,0.7433333333333333,8.0,2.0,,default.mixed,0,
VQC-amplitude,quantum,amplitude,0.02,fgsm,0.4166666666666667,0.45141065830721006,0.4532,0.7433333333333333,0.4166666666666667,8.0,2.0,,default.qubit,0,
VQC-amplitude-noisy,quantum,amplitude,0.02,fgsm,0.37,0.43582089552238806,0.4532,0.7433333333333333,0.37,8.0,2.0,,default.mixed,0,
