attack,model,epsilon,seed,acc
pgd,VQC-amplitude-dense,0.1,2,0.0
pgd,VQC-amplitude-dense,0.15,2,0.0
pgd,VQC-amplitude-dense,0.2,2,0.0
fgsm,VQC-amplitude-degenerate,0.0,2,0.7574999928474426
fgsm,VQC-amplitude-degenerate,0.02,2,0.7425000071525574
fgsm,VQC-amplitude-degenerate,0.05,2,0.6200000047683716
fgsm,VQC-amplitude-degenerate,0.1,2,0.2475000023841858
fgsm,VQC-amplitude-degenerate,0.15,2,0.20999999344348907
fgsm,VQC-amplitude-degenerate,0.2,2,0.11749999970197678
pgd,VQC-amplitude-degenerate,0.0,2,0.7574999928474426
pgd,VQC-amplitude-degenerate,0.02,2,0.7425000071525574
pgd,VQC-amplitude-degenerate,0.05,2,0.6200000047683716
pgd,VQC-amplitude-degenerate,0.1,2,0.2475000023841858
pgd,VQC-amplitude-degenerate,0.15,2,0.18000000715255737
pgd,VQC-amplitude-degenerate,0.2,2,0.07750000059604645
fgsm,VQC-angle,0.0,3,0.7475000023841858
fgsm,VQC-angle,0.02,3,0.7124999761581421
fgsm,VQC-angle,0.05,3,0.5274999737739563
fgsm,VQC-angle,0.1,3,0.2175000011920929
fgsm,VQC-angle,0.15,3,0.1875
fgsm,VQC-angle,0.2,3,0.125
pgd,VQC-angle,0.0,3,0.7475000023841858
pgd,VQC-angle,0.02,3,0.7124999761581421
pgd,VQC-angle,0.05,3,0.5299999713897705
pgd,VQC-angle,0.1,3,0.2199999988079071
pgd,VQC-angle,0.15,3,0.18250000476837158
pgd,VQC-angle,0.2,3,0.12250000238418579
fgsm,VQC-amplitude-dense,0.0,3,0.75
fgsm,VQC-amplitude-dense,0.02,3,0.32749998569488525
fgsm,VQC-amplitude-dense,0.05,3,0.2175000011920929
fgsm,VQC-amplitude-dense,0.1,3,0.36250001192092896
fgsm,VQC-amplitude-dense,0.15,3,0.44999998807907104
fgsm,VQC-amplitude-dense,0.2,3,0.4950000047683716
pgd,VQC-amplitude-dense,0.0,3,0.75
pgd,VQC-amplitude-dense,0.02,3,0.25999999046325684
pgd,VQC-amplitude-dense,0.05,3,0.004999999888241291
pgd,VQC-amplitude-dense,0.1,3,0.0
pgd,VQC-amplitude-dense,0.15,3,0.0
pgd,VQC-amplitude-dense,0.2,3,0.0
fgsm,VQC-amplitude-degenerate,0.0,3,0.7425000071525574
fgsm,VQC-amplitude-degenerate,0.02,3,0.7074999809265137
fgsm,VQC-amplitude-degenerate,0.05,3,0.512499988079071
fgsm,VQC-amplitude-degenerate,0.1,3,0.2150000035762787
fgsm,VQC-amplitude-degenerate,0.15,3,0.19750000536441803
fgsm,VQC-amplitude-degenerate,0.2,3,0.1274999976158142
pgd,VQC-amplitude-degenerate,0.0,3,0.7425000071525574
pgd,VQC-amplitude-degenerate,0.02,3,0.7074999809265137
pgd,VQC-amplitude-degenerate,0.05,3,0.5099999904632568
pgd,VQC-amplitude-degenerate,0.1,3,0.2150000035762787
pgd,VQC-amplitude-degenerate,0.15,3,0.17249999940395355
pgd,VQC-amplitude-degenerate,0.2,3,0.08500000089406967
fgsm,VQC-angle,0.0,4,0.7774999737739563
fgsm,VQC-angle,0.02,4,0.7325000166893005
fgsm,VQC-angle,0.05,4,0.46000000834465027
fgsm,VQC-angle,0.1,4,0.2549999952316284
fgsm,VQC-angle,0.15,4,0.2199999988079071
fgsm,VQC-angle,0.2,4,0.2199999988079071
pgd,VQC-angle,0.0,4,0.7774999737739563
pgd,VQC-angle,0.02,4,0.7325000166893005
pgd,VQC-angle,0.05,4,0.4724999964237213
pgd,VQC-angle,0.1,4,0.2475000023841858
pgd,VQC-angle,0.15,4,0.17749999463558197
pgd,VQC-angle,0.2,4,0.08250000327825546
fgsm,VQC-amplitude-dense,0.0,4,0.7574999928474426
fgsm,VQC-amplitude-dense,0.02,4,0.3075000047683716
fgsm,VQC-amplitude-dense,0.05,4,0.3174999952316284
fgsm,VQC-amplitude-dense,0.1,4,0.5774999856948853
fgsm,VQC-amplitude-dense,0.15,4,0.6274999976158142
fgsm,VQC-amplitude-dense,0.2,4,0.6399999856948853
pgd,VQC-amplitude-dense,0.0,4,0.7574999928474426
pgd,VQC-amplitude-dense,0.02,4,0.25
pgd,VQC-amplitude-dense,0.05,4,0.014999999664723873
pgd,VQC-amplitude-dense,0.1,4,0.0
pgd,VQC-amplitude-dense,0.15,4,0.0
pgd,VQC-amplitude-dense,0.2,4,0.0
fgsm,VQC-amplitude-degenerate,0.0,4,0.7724999785423279
fgsm,VQC-amplitude-degenerate,0.02,4,0.7350000143051147
fgsm,VQC-amplitude-degenerate,0.05,4,0.3400000035762787
fgsm,VQC-amplitude-degenerate,0.1,4,0.23999999463558197
fgsm,VQC-amplitude-degenerate,0.15,4,0.21250000596046448
fgsm,VQC-amplitude-degenerate,0.2,4,0.1850000023841858
pgd,VQC-amplitude-degenerate,0.0,4,0.7724999785423279
pgd,VQC-amplitude-degenerate,0.02,4,0.7350000143051147
pgd,VQC-amplitude-degenerate,0.05,4,0.33250001072883606
pgd,VQC-amplitude-degenerate,0.1,4,0.23499999940395355
pgd,VQC-amplitude-degenerate,0.15,4,0.20000000298023224
pgd,VQC-amplitude-degenerate,0.2,4,0.11249999701976776
