model,type,epsilon,attack,accuracy,f1,roc_auc,clean_acc,adv_acc,qubits,depth,shots,backend,seed,encoding,wall_clock_s
MLP,classical,0.0,fgsm,0.7806666666666666,0.7550260610573343,0.9258995279403442,0.7806666666666666,0.7806666666666666,,,,cpu,0,-,15.0
MLP,classical,0.02,fgsm,0.71,0.667176740627391,0.6570977285263,0.7806666666666666,0.71,,,,cpu,0,-,15.0
MLP,classical,0.05,fgsm,0.558,0.3978201634877384,0.49155808339481816,0.7806666666666666,0.558,,,,cpu,0,-,15.0
MLP,classical,0.1,fgsm,0.4613333333333333,0.218568665377176,0.19302870323278484,0.7806666666666666,0.4613333333333333,,,,cpu,0,-,15.0
MLP,classical,0.15,fgsm,0.308,0.05807622504537205,0.1309687967851233,0.7806666666666666,0.308,,,,cpu,0,-,15.0
MLP,classical,0.2,fgsm,0.30866666666666664,0.06153846153846154,0.05986436343579201,0.7806666666666666,0.30866666666666664,,,,cpu,0,-,15.0
SVM-RBF,classical,0.0,fgsm,0.7773333333333333,0.7488721804511278,0.8170061460877787,0.7773333333333333,0.7773333333333333,,,,cpu,0,-,15.1
SVM-RBF,classical,0.02,fgsm,0.7133333333333334,0.6732522796352584,0.6052642889377583,0.7773333333333333,0.7133333333333334,,,,cpu,0,-,15.1
SVM-RBF,classical,0.05,fgsm,0.238,0.37846655791190864,0.38630633018388116,0.7773333333333333,0.238,,,,cpu,0,-,15.1
SVM-RBF,classical,0.1,fgsm,0.084,0.15498154981549817,0.012349481737236838,0.7773333333333333,0.084,,,,cpu,0,-,15.1
SVM-RBF,classical,0.15,fgsm,0.07066666666666667,0.1320049813200498,0.0,0.7773333333333333,0.07066666666666667,,,,cpu,0,-,15.1
SVM-RBF,classical,0.2,fgsm,0.002,0.003992015968063872,0.0,0.7773333333333333,0.002,,,,cpu,0,-,15.1
MLP,classical,0.0,pgd,0.7806666666666666,0.7550260610573343,0.9258995279403442,0.7806666666666666,0.7806666666666666,,,,cpu,0,-,15.3
MLP,classical,0.02,pgd,0.7086666666666667,0.666157372039725,0.624691979283816,0.7806666666666666,0.7086666666666667,,,,cpu,0,-,15.3
MLP,classical,0.05,pgd,0.5346666666666666,0.3525046382189239,0.439280520913174,0.7806666666666666,0.5346666666666666,,,,cpu,0,-,15.3
MLP,classical,0.1,pgd,0.4766666666666667,0.24300867888138863,0.1855484559566192,0.7806666666666666,0.4766666666666667,,,,cpu,0,-,15.3
MLP,classical,0.15,pgd,0.36,0.13043478260869565,0.09885674171388456,0.7806666666666666,0.36,,,,cpu,0,-,15.3
MLP,classical,0.2,pgd,0.16266666666666665,0.12044817927170869,0.11112742745395805,0.7806666666666666,0.16266666666666665,,,,cpu,0,-,15.3
SVM-RBF,classical,0.0,pgd,0.7773333333333333,0.7488721804511278,0.8170061460877787,0.7773333333333333,0.7773333333333333,,,,cpu,0,-,16.7
SVM-RBF,classical,0.02,pgd,0.7133333333333334,0.6732522796352584,0.6052481715747021,0.7773333333333333,0.7133333333333334,,,,cpu,0,-,16.7
SVM-RBF,classical,0.05,pgd,0.23933333333333334,0.3788786064235166,0.38604307992063097,0.7773333333333333,0.23933333333333334,,,,cpu,0,-,16.7
SVM-RBF,classical,0.1,pgd,0.084,0.15498154981549817,0.011831935301323059,0.7773333333333333,0.084,,,,cpu,0,-,16.7
SVM-RBF,classical,0.15,pgd,0.06466666666666666,0.12147777082028804,0.0,0.7773333333333333,0.06466666666666666,,,,cpu,0,-,16.7
SVM-RBF,classical,0.2,pgd,0.002,0.003992015968063872,0.0,0.7773333333333333,0.002,,,,cpu,0,-,16.7
RF,classical-context,0.0,none,0.772,0.7428571428571429,0.9400317691134017,0.772,0.772,,,,cpu,0,-,16.8
