model,type,epsilon,attack,accuracy,f1,roc_auc,clean_acc,adv_acc,qubits,depth,shots,backend,seed,encoding,wall_clock_s
VQC-angle,quantum,0.0,fgsm,0.7766666666666666,0.7625797306874557,0.9065479473642738,0.7766666666666666,0.7766666666666666,8.0,2.0,,default.qubit,0,angle,364.1
VQC-angle,quantum,0.02,fgsm,0.7313333333333333,0.7073347857661583,0.7823278486543794,0.7766666666666666,0.7313333333333333,8.0,2.0,,default.qubit,0,angle,364.1
VQC-angle,quantum,0.05,fgsm,0.6173333333333333,0.5846599131693199,0.5673365520304297,0.7766666666666666,0.6173333333333333,8.0,2.0,,default.qubit,0,angle,364.1
VQC-angle,quantum,0.1,fgsm,0.37866666666666665,0.31871345029239767,0.22495182699264332,0.7766666666666666,0.37866666666666665,8.0,2.0,,default.qubit,0,angle,364.1
VQC-angle,quantum,0.15,fgsm,0.07866666666666666,0.14585908529048208,0.0040562030357948736,0.7766666666666666,0.07866666666666666,8.0,2.0,,default.qubit,0,angle,364.1
VQC-angle,quantum,0.2,fgsm,0.05466666666666667,0.10366624525916561,0.0,0.7766666666666666,0.05466666666666667,8.0,2.0,,default.qubit,0,angle,364.1
VQC-angle,quantum,0.0,pgd,0.7766666666666666,0.7625797306874557,0.9065479473642738,0.7766666666666666,0.7766666666666666,8.0,2.0,,default.qubit,0,angle,495.8
VQC-angle,quantum,0.02,pgd,0.7313333333333333,0.7073347857661583,0.7823779915616651,0.7766666666666666,0.7313333333333333,8.0,2.0,,default.qubit,0,angle,495.8
VQC-angle,quantum,0.05,pgd,0.6173333333333333,0.5846599131693199,0.5675389144776901,0.7766666666666666,0.6173333333333333,8.0,2.0,,default.qubit,0,angle,495.8
VQC-angle,quantum,0.1,pgd,0.388,0.32200886262924666,0.23022578634823532,0.7766666666666666,0.388,8.0,2.0,,default.qubit,0,angle,495.8
VQC-angle,quantum,0.15,pgd,0.07866666666666666,0.14585908529048208,0.006925093659787537,0.7766666666666666,0.07866666666666666,8.0,2.0,,default.qubit,0,angle,495.8
VQC-angle,quantum,0.2,pgd,0.051333333333333335,0.09765377298668358,0.0,0.7766666666666666,0.051333333333333335,8.0,2.0,,default.qubit,0,angle,495.8
VQC-amplitude,quantum,0.0,fgsm,0.762,0.7422382671480144,0.9116580468621285,0.762,0.762,8.0,2.0,,default.qubit,0,amplitude,804.4
VQC-amplitude,quantum,0.02,fgsm,0.6913333333333334,0.6484434320425209,0.6312490598204884,0.762,0.6913333333333334,8.0,2.0,,default.qubit,0,amplitude,804.4
VQC-amplitude,quantum,0.05,fgsm,0.41933333333333334,0.24062772449869224,0.33734715367368423,0.762,0.41933333333333334,8.0,2.0,,default.qubit,0,amplitude,804.4
VQC-amplitude,quantum,0.1,fgsm,0.0026666666666666666,0.005319148936170213,0.0,0.762,0.0026666666666666666,8.0,2.0,,default.qubit,0,amplitude,804.4
VQC-amplitude,quantum,0.15,fgsm,0.0,0.0,0.0,0.762,0.0,8.0,2.0,,default.qubit,0,amplitude,804.4
VQC-amplitude,quantum,0.2,fgsm,0.0,0.0,0.0,0.762,0.0,8.0,2.0,,default.qubit,0,amplitude,804.4
VQC-amplitude,quantum,0.0,pgd,0.762,0.7422382671480144,0.9116580468621285,0.762,0.762,8.0,2.0,,default.qubit,0,amplitude,878.4
VQC-amplitude,quantum,0.02,pgd,0.6913333333333334,0.6484434320425209,0.6312490598204884,0.762,0.6913333333333334,8.0,2.0,,default.qubit,0,amplitude,878.4
VQC-amplitude,quantum,0.05,pgd,0.41933333333333334,0.24062772449869224,0.3373578985823884,0.762,0.41933333333333334,8.0,2.0,,default.qubit,0,amplitude,878.4
VQC-amplitude,quantum,0.1,pgd,0.0026666666666666666,0.005319148936170213,0.0,0.762,0.0026666666666666666,8.0,2.0,,default.qubit,0,amplitude,878.4
VQC-amplitude,quantum,0.15,pgd,0.0,0.0,0.0,0.762,0.0,8.0,2.0,,default.qubit,0,amplitude,878.4
VQC-amplitude,quantum,0.2,pgd,0.0,0.0,0.0,0.762,0.0,8.0,2.0,,default.qubit,0,amplitude,878.4
MLP,classical,0.0,fgsm,0.7686666666666667,0.7598615916955017,0.9520124179638719,0.7686666666666667,0.7686666666666667,,,,cpu,1,-,886.7
MLP,classical,0.02,fgsm,0.722,0.7053003533568905,0.7697798983751392,0.7686666666666667,0.722,,,,cpu,1,-,886.7
MLP,classical,0.05,fgsm,0.6733333333333333,0.6348733233979136,0.6073854978279565,0.7686666666666667,0.6733333333333333,,,,cpu,1,-,886.7
MLP,classical,0.1,fgsm,0.626,0.5634241245136187,0.5601818318513805,0.7686666666666667,0.626,,,,cpu,1,-,886.7
MLP,classical,0.15,fgsm,0.46,0.27289048473967686,0.4704193171586848,0.7686666666666667,0.46,,,,cpu,1,-,886.7
MLP,classical,0.2,fgsm,0.4246666666666667,0.2617621899059025,0.24400877252497988,0.7686666666666667,0.4246666666666667,,,,cpu,1,-,886.7
SVM-RBF,classical,0.0,fgsm,0.754,0.7399577167019028,0.7759833791458157,0.754,0.754,,,,cpu,1,-,886.8
SVM-RBF,classical,0.02,fgsm,0.726,0.7095406360424028,0.6319426998619208,0.754,0.726,,,,cpu,1,-,886.8
SVM-RBF,classical,0.05,fgsm,0.5666666666666667,0.5625841184387618,0.48680912239909485,0.754,0.5666666666666667,,,,cpu,1,-,886.8
SVM-RBF,classical,0.1,fgsm,0.274,0.41981885988279166,0.12591250579914512,0.754,0.274,,,,cpu,1,-,886.8
SVM-RBF,classical,0.15,fgsm,0.24866666666666667,0.3944116066630844,0.010410038526494528,0.754,0.24866666666666667,,,,cpu,1,-,886.8
SVM-RBF,classical,0.2,fgsm,0.2773333333333333,0.4342379958246347,0.003198010778616603,0.754,0.2773333333333333,,,,cpu,1,-,886.8
MLP,classical,0.0,pgd,0.7686666666666667,0.7598615916955017,0.9520124179638719,0.7686666666666667,0.7686666666666667,,,,cpu,1,-,887.0
MLP,classical,0.02,pgd,0.724,0.7059659090909091,0.7275914614579189,0.7686666666666667,0.724,,,,cpu,1,-,887.0
MLP,classical,0.05,pgd,0.6713333333333333,0.6318147871545929,0.5437250957661197,0.7686666666666667,0.6713333333333333,,,,cpu,1,-,887.0
MLP,classical,0.1,pgd,0.608,0.544891640866873,0.4501163496467335,0.7686666666666667,0.608,,,,cpu,1,-,887.0
MLP,classical,0.15,pgd,0.45866666666666667,0.2926829268292683,0.2142282140100011,0.7686666666666667,0.45866666666666667,,,,cpu,1,-,887.0
MLP,classical,0.2,pgd,0.41333333333333333,0.2629815745393635,0.1874916336443937,0.7686666666666667,0.41333333333333333,,,,cpu,1,-,887.0
SVM-RBF,classical,0.0,pgd,0.754,0.7399577167019028,0.7759833791458157,0.754,0.754,,,,cpu,1,-,888.1
SVM-RBF,classical,0.02,pgd,0.726,0.7095406360424028,0.6316291334380999,0.754,0.726,,,,cpu,1,-,888.1
SVM-RBF,classical,0.05,pgd,0.5666666666666667,0.5625841184387618,0.4857639009863589,0.754,0.5666666666666667,,,,cpu,1,-,888.1
SVM-RBF,classical,0.1,pgd,0.2673333333333333,0.41261357562800643,0.11861612684953764,0.754,0.2673333333333333,,,,cpu,1,-,888.1
SVM-RBF,classical,0.15,pgd,0.19666666666666666,0.316505955757232,0.016879408954796917,0.754,0.19666666666666666,,,,cpu,1,-,888.1
SVM-RBF,classical,0.2,pgd,0.08133333333333333,0.14409937888198757,0.007142346320362197,0.754,0.08133333333333333,,,,cpu,1,-,888.1
RF,classical-context,0.0,none,0.7746666666666666,0.7694406548431105,0.9555414155231885,0.7746666666666666,0.7746666666666666,,,,cpu,1,-,888.2
VQC-angle,quantum,0.0,fgsm,0.754,0.7481228668941979,0.9082423960142224,0.754,0.754,8.0,2.0,,default.qubit,1,angle,1233.1
VQC-angle,quantum,0.02,fgsm,0.71,0.6938775510204082,0.8155844346360703,0.754,0.71,8.0,2.0,,default.qubit,1,angle,1233.1
VQC-angle,quantum,0.05,fgsm,0.6606666666666666,0.636168691922802,0.6112143088977681,0.754,0.6606666666666666,8.0,2.0,,default.qubit,1,angle,1233.1
VQC-angle,quantum,0.1,fgsm,0.5033333333333333,0.45260837619397504,0.38457729962463716,0.754,0.5033333333333333,8.0,2.0,,default.qubit,1,angle,1233.1
VQC-angle,quantum,0.15,fgsm,0.09933333333333333,0.17672151127361366,0.09707356341651706,0.754,0.09933333333333333,8.0,2.0,,default.qubit,1,angle,1233.1
VQC-angle,quantum,0.2,fgsm,0.023333333333333334,0.04560260586319218,0.0,0.754,0.023333333333333334,8.0,2.0,,default.qubit,1,angle,1233.1
VQC-angle,quantum,0.0,pgd,0.754,0.7481228668941979,0.9082423960142224,0.754,0.754,8.0,2.0,,default.qubit,1,angle,1363.2
VQC-angle,quantum,0.02,pgd,0.71,0.6938775510204082,0.8155807671925169,0.754,0.71,8.0,2.0,,default.qubit,1,angle,1363.2
VQC-angle,quantum,0.05,pgd,0.6606666666666666,0.636168691922802,0.6111244565307083,0.754,0.6606666666666666,8.0,2.0,,default.qubit,1,angle,1363.2
VQC-angle,quantum,0.1,pgd,0.5,0.4469026548672566,0.38301130122731,0.754,0.5,8.0,2.0,,default.qubit,1,angle,1363.2
VQC-angle,quantum,0.15,pgd,0.09533333333333334,0.17306520414381474,0.0946017064614854,0.754,0.09533333333333334,8.0,2.0,,default.qubit,1,angle,1363.2
VQC-angle,quantum,0.2,pgd,0.02266666666666667,0.04432855280312908,0.0,0.754,0.02266666666666667,8.0,2.0,,default.qubit,1,angle,1363.2
VQC-amplitude,quantum,0.0,fgsm,0.742,0.7336545079146594,0.9127551853067541,0.742,0.742,8.0,2.0,,default.qubit,1,amplitude,1672.3
VQC-amplitude,quantum,0.02,fgsm,0.6993333333333334,0.6785459729151817,0.7548313984512386,0.742,0.6993333333333334,8.0,2.0,,default.qubit,1,amplitude,1672.3
VQC-amplitude,quantum,0.05,fgsm,0.5853333333333334,0.5117739403453689,0.5397083282141933,0.742,0.5853333333333334,8.0,2.0,,default.qubit,1,amplitude,1672.3
VQC-amplitude,quantum,0.1,fgsm,0.386,0.23185988323603002,0.12441252138578024,0.742,0.386,8.0,2.0,,default.qubit,1,amplitude,1672.3
VQC-amplitude,quantum,0.15,fgsm,0.0033333333333333335,0.006644518272425249,0.0,0.742,0.0033333333333333335,8.0,2.0,,default.qubit,1,amplitude,1672.3
VQC-amplitude,quantum,0.2,fgsm,0.0,0.0,0.0,0.742,0.0,8.0,2.0,,default.qubit,1,amplitude,1672.3
VQC-amplitude,quantum,0.0,pgd,0.742,0.7336545079146594,0.9127551853067541,0.742,0.742,8.0,2.0,,default.qubit,1,amplitude,1747.0
VQC-amplitude,quantum,0.02,pgd,0.6993333333333334,0.6785459729151817,0.7547892228503738,0.742,0.6993333333333334,8.0,2.0,,default.qubit,1,amplitude,1747.0
VQC-amplitude,quantum,0.05,pgd,0.578,0.49960474308300395,0.5353770773775578,0.742,0.578,8.0,2.0,,default.qubit,1,amplitude,1747.0
VQC-amplitude,quantum,0.1,pgd,0.364,0.1832191780821918,0.11566383478900281,0.742,0.364,8.0,2.0,,default.qubit,1,amplitude,1747.0
VQC-amplitude,quantum,0.15,pgd,0.0026666666666666666,0.005319148936170213,0.0,0.742,0.0026666666666666666,8.0,2.0,,default.qubit,1,amplitude,1747.0
VQC-amplitude,quantum,0.2,pgd,0.0,0.0,0.0,0.742,0.0,8.0,2.0,,default.qubit,1,amplitude,1747.0
MLP,classical,0.0,fgsm,0.7573333333333333,0.7283582089552239,0.9314186664265454,0.7573333333333333,0.7573333333333333,,,,cpu,2,-,1754.6
MLP,classical,0.02,fgsm,0.7206666666666667,0.6759474091260634,0.7277295033992166,0.7573333333333333,0.7206666666666667,,,,cpu,2,-,1754.6
MLP,classical,0.05,fgsm,0.636,0.5357142857142857,0.5062446535500428,0.7573333333333333,0.636,,,,cpu,2,-,1754.6
MLP,classical,0.1,fgsm,0.4266666666666667,0.09853249475890985,0.12932150736121742,0.7573333333333333,0.4266666666666667,,,,cpu,2,-,1754.6
MLP,classical,0.15,fgsm,0.3626666666666667,0.022494887525562373,0.06013686911890505,0.7573333333333333,0.3626666666666667,,,,cpu,2,-,1754.6
MLP,classical,0.2,fgsm,0.34933333333333333,0.024,0.02513529332312818,0.7573333333333333,0.34933333333333333,,,,cpu,2,-,1754.6
SVM-RBF,classical,0.0,fgsm,0.7786666666666666,0.7587209302325582,0.7910881995407681,0.7786666666666666,0.7786666666666666,,,,cpu,2,-,1754.7
SVM-RBF,classical,0.02,fgsm,0.7253333333333334,0.698389458272328,0.6205393723830535,0.7786666666666666,0.7253333333333334,,,,cpu,2,-,1754.7
SVM-RBF,classical,0.05,fgsm,0.298,0.4242755604155276,0.4403583809823961,0.7786666666666666,0.298,,,,cpu,2,-,1754.7
SVM-RBF,classical,0.1,fgsm,0.19733333333333333,0.32962138084632514,0.04852910719913556,0.7786666666666666,0.19733333333333333,,,,cpu,2,-,1754.7
SVM-RBF,classical,0.15,fgsm,0.042666666666666665,0.08184143222506395,0.0,0.7786666666666666,0.042666666666666665,,,,cpu,2,-,1754.7
SVM-RBF,classical,0.2,fgsm,0.0026666666666666666,0.005319148936170213,0.0,0.7786666666666666,0.0026666666666666666,,,,cpu,2,-,1754.7
MLP,classical,0.0,pgd,0.7573333333333333,0.7283582089552239,0.9314186664265454,0.7573333333333333,0.7573333333333333,,,,cpu,2,-,1755.0
MLP,classical,0.02,pgd,0.718,0.6728538283062645,0.717847913196164,0.7573333333333333,0.718,,,,cpu,2,-,1755.0
MLP,classical,0.05,pgd,0.6313333333333333,0.5309584393553859,0.48015307730403856,0.7573333333333333,0.6313333333333333,,,,cpu,2,-,1755.0
MLP,classical,0.1,pgd,0.3933333333333333,0.1182170542635659,0.10230246274368557,0.7573333333333333,0.3933333333333333,,,,cpu,2,-,1755.0
MLP,classical,0.15,pgd,0.22666666666666666,0.05844155844155844,0.04199360677141956,0.7573333333333333,0.22666666666666666,,,,cpu,2,-,1755.0
MLP,classical,0.2,pgd,0.052,0.06692913385826772,0.056408086083472156,0.7573333333333333,0.052,,,,cpu,2,-,1755.0
SVM-RBF,classical,0.0,pgd,0.7786666666666666,0.7587209302325582,0.7910881995407681,0.7786666666666666,0.7786666666666666,,,,cpu,2,-,1757.1
SVM-RBF,classical,0.02,pgd,0.7253333333333334,0.698389458272328,0.620490747827653,0.7786666666666666,0.7253333333333334,,,,cpu,2,-,1757.1
SVM-RBF,classical,0.05,pgd,0.2926666666666667,0.4217983651226158,0.4394129035162757,0.7786666666666666,0.2926666666666667,,,,cpu,2,-,1757.1
SVM-RBF,classical,0.1,pgd,0.198,0.330550918196995,0.04681824321282248,0.7786666666666666,0.198,,,,cpu,2,-,1757.1
SVM-RBF,classical,0.15,pgd,0.042666666666666665,0.08184143222506395,0.0,0.7786666666666666,0.042666666666666665,,,,cpu,2,-,1757.1
SVM-RBF,classical,0.2,pgd,0.004,0.00796812749003984,0.0,0.7786666666666666,0.004,,,,cpu,2,-,1757.1
RF,classical-context,0.0,none,0.7793333333333333,0.7606652205350687,0.9411723920579893,0.7793333333333333,0.7793333333333333,,,,cpu,2,-,1757.2
VQC-angle,quantum,0.0,fgsm,0.766,0.752990851513019,0.9018459321957588,0.766,0.766,8.0,2.0,,default.qubit,2,angle,2105.4
VQC-angle,quantum,0.02,fgsm,0.73,0.7109207708779444,0.8119202197109541,0.766,0.73,8.0,2.0,,default.qubit,2,angle,2105.4
VQC-angle,quantum,0.05,fgsm,0.6633333333333333,0.6431095406360424,0.6269145918688939,0.766,0.6633333333333333,8.0,2.0,,default.qubit,2,angle,2105.4
VQC-angle,quantum,0.1,fgsm,0.574,0.5490472829922372,0.4334789068479582,0.766,0.574,8.0,2.0,,default.qubit,2,angle,2105.4
VQC-angle,quantum,0.15,fgsm,0.18333333333333332,0.3090806542583192,0.14920534870109406,0.766,0.18333333333333332,8.0,2.0,,default.qubit,2,angle,2105.4
VQC-angle,quantum,0.2,fgsm,0.09533333333333334,0.17407181984175288,0.012916122641934176,0.766,0.09533333333333334,8.0,2.0,,default.qubit,2,angle,2105.4
VQC-angle,quantum,0.0,pgd,0.766,0.752990851513019,0.9018459321957588,0.766,0.766,8.0,2.0,,default.qubit,2,angle,2234.2
VQC-angle,quantum,0.02,pgd,0.73,0.7109207708779444,0.8119220206204134,0.766,0.73,8.0,2.0,,default.qubit,2,angle,2234.2
VQC-angle,quantum,0.05,pgd,0.6633333333333333,0.6431095406360424,0.6259060825716987,0.766,0.6633333333333333,8.0,2.0,,default.qubit,2,angle,2234.2
VQC-angle,quantum,0.1,pgd,0.5733333333333334,0.5473833097595474,0.4315465309981541,0.766,0.5733333333333334,8.0,2.0,,default.qubit,2,angle,2234.2
VQC-angle,quantum,0.15,pgd,0.18266666666666667,0.3057757644394111,0.14333258295439197,0.766,0.18266666666666667,8.0,2.0,,default.qubit,2,angle,2234.2
VQC-angle,quantum,0.2,pgd,0.09133333333333334,0.16737935247403787,0.004080860834721535,0.766,0.09133333333333334,8.0,2.0,,default.qubit,2,angle,2234.2
VQC-amplitude,quantum,0.0,fgsm,0.7693333333333333,0.757703081232493,0.9243879158975282,0.7693333333333333,0.7693333333333333,8.0,2.0,,default.qubit,2,amplitude,2546.0
VQC-amplitude,quantum,0.02,fgsm,0.6946666666666667,0.6661807580174927,0.675155553554545,0.7693333333333333,0.6946666666666667,8.0,2.0,,default.qubit,2,amplitude,2546.0
VQC-amplitude,quantum,0.05,fgsm,0.5033333333333333,0.4394281414597442,0.3478024402323173,0.7693333333333333,0.5033333333333333,8.0,2.0,,default.qubit,2,amplitude,2546.0
VQC-amplitude,quantum,0.1,fgsm,0.004,0.00796812749003984,0.0005762910269686191,0.7693333333333333,0.004,8.0,2.0,,default.qubit,2,amplitude,2546.0
VQC-amplitude,quantum,0.15,fgsm,0.0026666666666666666,0.005319148936170213,0.0,0.7693333333333333,0.0026666666666666666,8.0,2.0,,default.qubit,2,amplitude,2546.0
VQC-amplitude,quantum,0.2,fgsm,0.0,0.0,0.0,0.7693333333333333,0.0,8.0,2.0,,default.qubit,2,amplitude,2546.0
VQC-amplitude,quantum,0.0,pgd,0.7693333333333333,0.757703081232493,0.9243879158975282,0.7693333333333333,0.7693333333333333,8.0,2.0,,default.qubit,2,amplitude,2619.5
VQC-amplitude,quantum,0.02,pgd,0.6946666666666667,0.6661807580174927,0.6751519517356265,0.7693333333333333,0.6946666666666667,8.0,2.0,,default.qubit,2,amplitude,2619.5
VQC-amplitude,quantum,0.05,pgd,0.5033333333333333,0.4394281414597442,0.3475773265499077,0.7693333333333333,0.5033333333333333,8.0,2.0,,default.qubit,2,amplitude,2619.5
VQC-amplitude,quantum,0.1,pgd,0.004,0.00796812749003984,0.0003799918959074331,0.7693333333333333,0.004,8.0,2.0,,default.qubit,2,amplitude,2619.5
VQC-amplitude,quantum,0.15,pgd,0.002,0.003992015968063872,0.0,0.7693333333333333,0.002,8.0,2.0,,default.qubit,2,amplitude,2619.5
VQC-amplitude,quantum,0.2,pgd,0.0,0.0,0.0,0.7693333333333333,0.0,8.0,2.0,,default.qubit,2,amplitude,2619.5
MLP,classical,0.0,fgsm,0.7726666666666666,0.7600281491907108,0.9407219783585138,0.7726666666666666,0.7726666666666666,,,,cpu,3,-,2627.2
MLP,classical,0.02,fgsm,0.7013333333333334,0.6790830945558739,0.7541471008574928,0.7726666666666666,0.7013333333333334,,,,cpu,3,-,2627.2
MLP,classical,0.05,fgsm,0.634,0.5960264900662252,0.5297169398588345,0.7726666666666666,0.634,,,,cpu,3,-,2627.2
MLP,classical,0.1,fgsm,0.472,0.289048473967684,0.2273349545003792,0.7726666666666666,0.472,,,,cpu,3,-,2627.2
MLP,classical,0.15,fgsm,0.4613333333333333,0.28998242530755713,0.20785360642827982,0.7726666666666666,0.4613333333333333,,,,cpu,3,-,2627.2
MLP,classical,0.2,fgsm,0.42533333333333334,0.2792642140468227,0.2055576620194832,0.7726666666666666,0.42533333333333334,,,,cpu,3,-,2627.2
SVM-RBF,classical,0.0,fgsm,0.7793333333333333,0.7670654468684025,0.7845111707402439,0.7793333333333333,0.7793333333333333,,,,cpu,3,-,2627.3
SVM-RBF,classical,0.02,fgsm,0.7246666666666667,0.7077140835102619,0.6391876421863151,0.7793333333333333,0.7246666666666667,,,,cpu,3,-,2627.3
SVM-RBF,classical,0.05,fgsm,0.5006666666666667,0.5379395434916718,0.4843321618153182,0.7793333333333333,0.5006666666666667,,,,cpu,3,-,2627.3
SVM-RBF,classical,0.1,fgsm,0.234,0.37925445705024313,0.14042174648544595,0.7793333333333333,0.234,,,,cpu,3,-,2627.3
SVM-RBF,classical,0.15,fgsm,0.09933333333333333,0.18071558520315342,0.0,0.7793333333333333,0.09933333333333333,,,,cpu,3,-,2627.3
SVM-RBF,classical,0.2,fgsm,0.096,0.17518248175182483,0.0,0.7793333333333333,0.096,,,,cpu,3,-,2627.3
MLP,classical,0.0,pgd,0.7726666666666666,0.7600281491907108,0.9407219783585138,0.7726666666666666,0.7726666666666666,,,,cpu,3,-,2627.6
MLP,classical,0.02,pgd,0.696,0.6747503566333809,0.7432516187365105,0.7726666666666666,0.696,,,,cpu,3,-,2627.6
MLP,classical,0.05,pgd,0.608,0.576978417266187,0.5032885142623812,0.7726666666666666,0.608,,,,cpu,3,-,2627.6
MLP,classical,0.1,pgd,0.402,0.28865979381443296,0.22043071516070697,0.7726666666666666,0.402,,,,cpu,3,-,2627.6
MLP,classical,0.15,pgd,0.14866666666666667,0.21318545902649413,0.1794983739718836,0.7726666666666666,0.14866666666666667,,,,cpu,3,-,2627.6
MLP,classical,0.2,pgd,0.14066666666666666,0.22020568663036902,0.19612961558653677,0.7726666666666666,0.14066666666666666,,,,cpu,3,-,2627.6
SVM-RBF,classical,0.0,pgd,0.7793333333333333,0.7670654468684025,0.7845111707402439,0.7793333333333333,0.7793333333333333,,,,cpu,3,-,2629.2
SVM-RBF,classical,0.02,pgd,0.7246666666666667,0.7077140835102619,0.6391712360730327,0.7793333333333333,0.7246666666666667,,,,cpu,3,-,2629.2
SVM-RBF,classical,0.05,pgd,0.498,0.5337461300309597,0.4834589920084,0.7793333333333333,0.498,,,,cpu,3,-,2629.2
SVM-RBF,classical,0.1,pgd,0.22266666666666668,0.3642311886586696,0.13850952283730972,0.7793333333333333,0.22266666666666668,,,,cpu,3,-,2629.2
SVM-RBF,classical,0.15,pgd,0.09733333333333333,0.17739975698663427,0.0,0.7793333333333333,0.09733333333333333,,,,cpu,3,-,2629.2
SVM-RBF,classical,0.2,pgd,0.08333333333333333,0.15384615384615385,0.0,0.7793333333333333,0.08333333333333333,,,,cpu,3,-,2629.2
RF,classical-context,0.0,none,0.796,0.7904109589041096,0.9524960989908418,0.796,0.796,,,,cpu,3,-,2629.4
VQC-angle,quantum,0.0,fgsm,0.768,0.7654986522911051,0.9072516843609637,0.768,0.768,8.0,2.0,,default.qubit,3,angle,2977.2
VQC-angle,quantum,0.02,fgsm,0.7326666666666667,0.7247769389155799,0.8354849647086274,0.768,0.7326666666666667,8.0,2.0,,default.qubit,3,angle,2977.2
VQC-angle,quantum,0.05,fgsm,0.6686666666666666,0.6602870813397129,0.6617569853584555,0.768,0.6686666666666666,8.0,2.0,,default.qubit,3,angle,2977.2
VQC-angle,quantum,0.1,fgsm,0.5746666666666667,0.5538461538461539,0.4501582278481013,0.768,0.5746666666666667,8.0,2.0,,default.qubit,3,angle,2977.2
VQC-angle,quantum,0.15,fgsm,0.24866666666666667,0.24615384615384617,0.16738245931283907,0.768,0.24866666666666667,8.0,2.0,,default.qubit,3,angle,2977.2
VQC-angle,quantum,0.2,fgsm,0.09733333333333333,0.17739975698663427,0.022753456221198162,0.768,0.09733333333333333,8.0,2.0,,default.qubit,3,angle,2977.2
VQC-angle,quantum,0.0,pgd,0.768,0.7654986522911051,0.9072516843609637,0.768,0.768,8.0,2.0,,default.qubit,3,angle,3107.9
VQC-angle,quantum,0.02,pgd,0.7326666666666667,0.7247769389155799,0.8354722043982966,0.768,0.7326666666666667,8.0,2.0,,default.qubit,3,angle,3107.9
